Pizza		
Végétarienne	Tomates fraîches, tapenade d'olives, tomates séchées, oignons rouges, câpres, mozza.	9
Jambon Mozza	Blancs de volaille, base mozzarella, parmesan, tomates fraîches.	10
Trois Fromage	Mozzarella, chèvre, gorgonzola, tomates fraîches, sauce tomate	10
Régina	Jambon cuit, champignons de Paris frais, mozzarella, sauce tomate	11
Margherita	Fromage mozzarella, sauce tomate, olives, origan	12
Vésuvio	Chorizo, poivrons frais, oignons rouges, oeuf, mozzarella, sauce tomate	11
Merguez	Merguez boeuf et mouton, oignons rouges, dés de tomates, câpres, oeuf cuit minute, sauce tomate	11
Dessert		
Café Gourmant	Gauffre, café, décaféiné ou thé gauffre ou Moelleux au chocolat, sauce chocolat, chantilly, panna cotta, coulis de framboise	5
Moelleux au chocolat	Moelleux au chocolat, amandes grillées	7
Crousti poire caramélisé	Mini-pizza cuite à la minute, crème d'amandes, poire caramélisée, glace vanille sauce chocolat.	7
Mousse au chocolat	Du chocolat noir fondant allégé aux blancs d'oeufs	6.5
Glaces		
Coupe Antillaise	Rhum-raisin (3 boules), rhum (3cl)	3
Colonel Italien	Citron (3 boules), Grappa Piave (3cl)	3.2
Fresca coulis de framboise	Sorbets : citron, framboise, fruit de la passion, coulis de framboise.	4.5
